Text,Image,Folio
urn:cts:greekLit:tlg5026.msAil.hmt:17.1,"urn:cite:hmt:vaimg.VA223VN-0725@0.4723,0.216,0.0726,0.0102",urn:cite:hmt:msA.223v
urn:cts:greekLit:tlg5026.msAil.hmt:17.2,"urn:cite:hmt:vaimg.VA223VN-0725@0.7875,0.2885,0.0335,0.0077",urn:cite:hmt:msA.223v
urn:cts:greekLit:tlg5026.msAil.hmt:17.3,"urn:cite:hmt:vaimg.VA223VN-0725@0.615,0.3031,0.0686,0.0105",urn:cite:hmt:msA.223v
urn:cts:greekLit:tlg5026.msAil.hmt:17.4,"urn:cite:hmt:vaimg.VA223VN-0725@0.6721,0.3787,0.049,0.0102",urn:cite:hmt:msA.223v
urn:cts:greekLit:tlg5026.msAil.hmt:17.5,"urn:cite:hmt:vaimg.VA223VN-0725@0.6765,0.5304,0.0416,0.0097",urn:cite:hmt:msA.223v
urn:cts:greekLit:tlg5026.msAil.hmt:17.6,"urn:cite:hmt:vaimg.VA223VN-0725@0.7506,0.622,0.1356,0.0108",urn:cite:hmt:msA.223v
urn:cts:greekLit:tlg5026.msAil.hmt:17.7,"urn:cite:hmt:vaimg.VA223VN-0725@0.6857,0.6416,0.0523,0.0111",urn:cite:hmt:msA.223v
urn:cts:greekLit:tlg5026.msAil.hmt:17.8,"urn:cite:hmt:vaimg.VA223VN-0725@0.6879,0.6594,0.0726,0.0105",urn:cite:hmt:msA.223v
urn:cts:greekLit:tlg5026.msAil.hmt:17.9,"urn:cite:hmt:vaimg.VA223VN-0725@0.68,0.6762,0.085,0.0135",urn:cite:hmt:msA.223v
urn:cts:greekLit:tlg5026.msAil.hmt:17.10,"urn:cite:hmt:vaimg.VA224VN-0726@0.753,0.2893,0.056,0.0105",urn:cite:hmt:msA.224v
urn:cts:greekLit:tlg5026.msAil.hmt:17.11,"urn:cite:hmt:vaimg.VA224VN-0726@0.721,0.3035,0.115,0.0173",urn:cite:hmt:msA.224v
urn:cts:greekLit:tlg5026.msAil.hmt:17.12,"urn:cite:hmt:vaimg.VA224VN-0726@0.515,0.4906,0.097,0.015",urn:cite:hmt:msA.224v
urn:cts:greekLit:tlg5026.msAil.hmt:17.13,"urn:cite:hmt:vaimg.VA224VN-0726@0.615,0.5124,0.1,0.012",urn:cite:hmt:msA.224v
urn:cts:greekLit:tlg5026.msAil.hmt:17.14,"urn:cite:hmt:vaimg.VA226RN-0397@0.266,0.2352,0.043,0.0135",urn:cite:hmt:msA.226r
urn:cts:greekLit:tlg5026.msAil.hmt:17.15,"urn:cite:hmt:vaimg.VA226RN-0397@0.279,0.3914,0.1,0.0128",urn:cite:hmt:msA.226r
